rt,response,task,item_id,entity_type,entity,correct,intuitive,question,prefix,population_correct,population_intuitive,population_ratio,display_correct_first,task_type,trial_type,trial_index,time_elapsed,subject_id,study_id,session_id,rng_seed,response_correct,response_position,rt_zscore
2320,j,capitals,40,state,Virginia,Richmond,Virginia Beach,What is the capital of Virginia?,The capital of Virginia is,0.231,0.45,1.948051948,False,critical,html-keyboard-response,29,152429,subject_8,67d993866d1d7516d87e97de,67dafe9cb85ca12096b1842e,0.2612460665735832,1,right,-0.23546487427192228
1643,f,capitals,30,state,New Jersey,Trenton,Newark,What is the capital of New Jersey?,The capital of New Jersey is,0.0898,0.306,3.407572383,False,critical,html-keyboard-response,31,155089,subject_8,67d993866d1d7516d87e97de,67dafe9cb85ca12096b1842e,0.2612460665735832,0,left,-0.9493919626754028
2340,j,capitals,7,country,Pakistan,Islamabad,Karachi,What is the capital of Pakistan?,The capital of Pakistan is,1.3,18.1,13.92307692,True,critical,html-keyboard-response,33,158435,subject_8,67d993866d1d7516d87e97de,67dafe9cb85ca12096b1842e,0.2612460665735832,0,right,-0.21437397062632463
2023,j,capitals,6,country,New Zealand,Wellington,Auckland,What is the capital of New Zealand?,The capital of New Zealand is,0.428,1.711,3.997663551,False,critical,html-keyboard-response,35,161468,subject_8,67d993866d1d7516d87e97de,67dafe9cb85ca12096b1842e,0.2612460665735832,1,right,-0.5486647934090474
2622,f,capitals,14,state,California,Sacramento,Los Angeles,What is the capital of California?,The capital of California is,0.527,3.8,7.210626186,True,critical,html-keyboard-response,37,165106,subject_8,67d993866d1d7516d87e97de,67dafe9cb85ca12096b1842e,0.2612460665735832,1,left,0.08300777077660226
4943,f,capitals,27,state,Nebraska,Lincoln,Omaha,What is the capital of Nebraska?,The capital of Nebraska is,0.297,0.477,1.606060606,False,critical,html-keyboard-response,39,171065,subject_8,67d993866d1d7516d87e97de,67dafe9cb85ca12096b1842e,0.2612460665735832,0,left,2.5306071388482096
1937,j,capitals,34,state,North Dakota,Bismarck,Fargo,What is the capital of North Dakota?,The capital of North Dakota is,0.076,0.138,1.815789474,False,critical,html-keyboard-response,41,174010,subject_8,67d993866d1d7516d87e97de,67dafe9cb85ca12096b1842e,0.2612460665735832,1,right,-0.6393556790851174
2373,j,capitals,36,state,Pennsylvania,Harrisburg,Philadelphia,What is the capital of Pennsylvania?,The capital of Pennsylvania is,0.05,1.517,30.34,True,critical,html-keyboard-response,43,177397,subject_8,67d993866d1d7516d87e97de,67dafe9cb85ca12096b1842e,0.2612460665735832,0,right,-0.1795739796110885
5310,f,capitals,41,state,Washington,Olympia,Seattle,What is the capital of Washington?,The capital of Washington is,0.0558,0.765,13.70967742,True,critical,html-keyboard-response,45,183711,subject_8,67d993866d1d7516d87e97de,67dafe9cb85ca12096b1842e,0.2612460665735832,1,left,2.917625220744927
1481,f,capitals,32,state,New York,Albany,New York,What is the capital of New York?,The capital of New York is,0.103,7.937,77.05825243,True,critical,html-keyboard-response,47,186202,subject_8,67d993866d1d7516d87e97de,67dafe9cb85ca12096b1842e,0.2612460665735832,1,left,-1.1202282822047438
3211,j,capitals,23,state,Maryland,Annapolis,Baltimore,What is the capital of Maryland?,The capital of Maryland is,0.0403,0.553,13.72208437,False,critical,html-keyboard-response,49,190424,subject_8,67d993866d1d7516d87e97de,67dafe9cb85ca12096b1842e,0.2612460665735832,1,right,0.7041348831394532
1980,f,capitals,20,state,Kentucky,Frankfort,Louisville,What is the capital of Kentucky?,The capital of Kentucky is,0.0281,0.617,21.95729537,False,critical,html-keyboard-response,51,193416,subject_8,67d993866d1d7516d87e97de,67dafe9cb85ca12096b1842e,0.2612460665735832,0,left,-0.5940102362470824
2485,f,capitals,31,state,New Mexico,Santa Fe,Albuquerque,What is the capital of New Mexico?,The capital of New Mexico is,0.0901,0.557,6.182019978,True,critical,html-keyboard-response,53,196914,subject_8,67d993866d1d7516d87e97de,67dafe9cb85ca12096b1842e,0.2612460665735832,1,left,-0.06146491919574166
3412,j,capitals,29,state,New Hampshire,Concord,Manchester,What is the capital of New Hampshire?,The capital of New Hampshire is,0.0449,0.115,2.561247216,False,critical,html-keyboard-response,55,201344,subject_8,67d993866d1d7516d87e97de,67dafe9cb85ca12096b1842e,0.2612460665735832,1,right,0.9160984647777095
2173,j,capitals,26,state,Montana,Helena,Billings,What is the capital of Montana?,The capital of Montana is,0.0359,0.123,3.426183844,True,critical,html-keyboard-response,57,204522,subject_8,67d993866d1d7516d87e97de,67dafe9cb85ca12096b1842e,0.2612460665735832,0,right,-0.39048301606706504
3599,j,capitals,19,state,Kansas,Topeka,Wichita,What is the capital of Kansas?,The capital of Kansas is,0.125,0.395,3.16,False,critical,html-keyboard-response,59,209136,subject_8,67d993866d1d7516d87e97de,67dafe9cb85ca12096b1842e,0.2612460665735832,1,right,1.1132984138640476
2135,j,capitals,22,state,Maine,Augusta,Portland,What is the capital of Maine?,The capital of Maine is,0.0192,0.0695,3.619791667,True,critical,html-keyboard-response,61,212282,subject_8,67d993866d1d7516d87e97de,67dafe9cb85ca12096b1842e,0.2612460665735832,0,right,-0.4305557329937006
1944,f,capitals,9,country,Switzerland,Bern,Zurich,What is the capital of Switzerland?,The capital of Switzerland is,0.448,1.455,3.247767857,False,critical,html-keyboard-response,63,215244,subject_8,67d993866d1d7516d87e97de,67dafe9cb85ca12096b1842e,0.2612460665735832,0,left,-0.6319738628091581
1890,f,capitals,25,state,Minnesota,St. Paul,Minneapolis,What is the capital of Minnesota?,The capital of Minnesota is,0.299,0.421,1.408026756,False,critical,html-keyboard-response,65,218143,subject_8,67d993866d1d7516d87e97de,67dafe9cb85ca12096b1842e,0.2612460665735832,0,left,-0.6889193026522719
1764,j,capitals,4,country,India,New Delhi,Mumbai,What is the capital of India?,The capital of India is,0.206,22.1,107.2815534,False,critical,html-keyboard-response,67,220920,subject_8,67d993866d1d7516d87e97de,67dafe9cb85ca12096b1842e,0.2612460665735832,1,right,-0.821791995619537
1364,f,capitals,1,country,Australia,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,False,critical,html-keyboard-response,69,223302,subject_8,67d993866d1d7516d87e97de,67dafe9cb85ca12096b1842e,0.2612460665735832,0,left,-1.2436100685314901
1713,f,capitals,17,state,Florida,Tallahassee,Jacksonville,What is the capital of Florida?,The capital of Florida is,0.205,1.008,4.917073171,True,critical,html-keyboard-response,71,226024,subject_8,67d993866d1d7516d87e97de,67dafe9cb85ca12096b1842e,0.2612460665735832,1,left,-0.8755737999158111
1364,f,capitals,15,state,Connecticut,Hartford,Bridgeport,What is the capital of Connecticut?,The capital of Connecticut is,0.119,0.148,1.243697479,True,critical,html-keyboard-response,73,228393,subject_8,67d993866d1d7516d87e97de,67dafe9cb85ca12096b1842e,0.2612460665735832,1,left,-1.2436100685314901
4802,j,capitals,42,state,Wisconsin,Madison,Milwaukee,What is the capital of Wisconsin?,The capital of Wisconsin is,0.284,0.551,1.940140845,False,critical,html-keyboard-response,75,234200,subject_8,67d993866d1d7516d87e97de,67dafe9cb85ca12096b1842e,0.2612460665735832,1,right,2.3819162681467465
2772,f,capitals,21,state,Louisiana,Baton Rouge,New Orleans,What is the capital of Louisiana?,The capital of Louisiana is,0.215,0.351,1.63255814,True,critical,html-keyboard-response,77,237978,subject_8,67d993866d1d7516d87e97de,67dafe9cb85ca12096b1842e,0.2612460665735832,1,left,0.24118954811858465
2291,f,capitals,35,state,Oregon,Salem,Portland,What is the capital of Oregon?,The capital of Oregon is,0.178,0.615,3.45505618,False,critical,html-keyboard-response,79,241282,subject_8,67d993866d1d7516d87e97de,67dafe9cb85ca12096b1842e,0.2612460665735832,0,left,-0.26604668455803887
3966,j,capitals,12,state,Alabama,Montgomery,Birmingham,What is the capital of Alabama?,The capital of Alabama is,0.192,0.194,1.010416667,True,critical,html-keyboard-response,81,246257,subject_8,67d993866d1d7516d87e97de,67dafe9cb85ca12096b1842e,0.2612460665735832,0,right,1.5003164957607644
3203,j,capitals,33,state,North Carolina,Raleigh,Charlotte,What is the capital of North Carolina?,The capital of North Carolina is,0.494,0.935,1.892712551,True,critical,html-keyboard-response,83,250476,subject_8,67d993866d1d7516d87e97de,67dafe9cb85ca12096b1842e,0.2612460665735832,0,right,0.695698521681214
2589,f,capitals,3,country,Canada,Ottawa,Toronto,What is the capital of Canada?,The capital of Canada is,1.465,6.491,4.430716724,True,critical,html-keyboard-response,85,254074,subject_8,67d993866d1d7516d87e97de,67dafe9cb85ca12096b1842e,0.2612460665735832,1,left,0.04820777976136613
1585,j,capitals,13,state,Alaska,Juneau,Anchorage,What is the capital of Alaska?,The capital of Alaska is,0.0311,0.283,9.099678457,False,critical,html-keyboard-response,87,256672,subject_8,67d993866d1d7516d87e97de,67dafe9cb85ca12096b1842e,0.2612460665735832,1,right,-1.010555583247636
2563,j,capitals,39,state,Vermont,Montpelier,Burlington,What is the capital of Vermont?,The capital of Vermont is,0.0079,0.0444,5.620253165,True,critical,html-keyboard-response,89,260243,subject_8,67d993866d1d7516d87e97de,67dafe9cb85ca12096b1842e,0.2612460665735832,0,right,0.020789605022089184
3259,j,capitals,4,country,India,New Delhi,Mumbai,What is the capital of India?,The capital of India is,0.206,22.1,107.2815534,False,critical,html-keyboard-response,7,25607,subject_19,67d993866d1d7516d87e97de,67f554a334e6b49976b7f0b8,0.632225210767262,1,right,0.8791172653096657
3596,f,capitals,33,state,North Carolina,Raleigh,Charlotte,What is the capital of North Carolina?,The capital of North Carolina is,0.494,0.935,1.892712551,False,critical,html-keyboard-response,9,30211,subject_19,67d993866d1d7516d87e97de,67f554a334e6b49976b7f0b8,0.632225210767262,0,left,1.1723842707350354
3764,j,capitals,25,state,Minnesota,St. Paul,Minneapolis,What is the capital of Minnesota?,The capital of Minnesota is,0.299,0.421,1.408026756,False,critical,html-keyboard-response,11,34976,subject_19,67d993866d1d7516d87e97de,67f554a334e6b49976b7f0b8,0.632225210767262,1,right,1.3185826591963472
1534,j,capitals,39,state,Vermont,Montpelier,Burlington,What is the capital of Vermont?,The capital of Vermont is,0.0079,0.0444,5.620253165,False,critical,html-keyboard-response,13,37522,subject_19,67d993866d1d7516d87e97de,67f554a334e6b49976b7f0b8,0.632225210767262,1,right,-0.6220269019270185
2567,f,capitals,17,state,Florida,Tallahassee,Jacksonville,What is the capital of Florida?,The capital of Florida is,0.205,1.008,4.917073171,True,critical,html-keyboard-response,15,41098,subject_19,67d993866d1d7516d87e97de,67f554a334e6b49976b7f0b8,0.632225210767262,1,left,0.2769191414095002
2563,f,capitals,28,state,Nevada,Carson City,Las Vegas,What is the capital of Nevada?,The capital of Nevada is,0.0576,0.67,11.63194444,True,critical,html-keyboard-response,17,44669,subject_19,67d993866d1d7516d87e97de,67f554a334e6b49976b7f0b8,0.632225210767262,1,left,0.2734382273985166
1442,j,capitals,10,country,Turkey,Ankara,Istanbul,What is the capital of Turkey?,The capital of Turkey is,5.55,16.24,2.926126126,True,critical,html-keyboard-response,19,47119,subject_19,67d993866d1d7516d87e97de,67f554a334e6b49976b7f0b8,0.632225210767262,0,right,-0.7020879241796417
4350,f,capitals,14,state,California,Sacramento,Los Angeles,What is the capital of California?,The capital of California is,0.527,3.8,7.210626186,True,critical,html-keyboard-response,21,52479,subject_19,67d993866d1d7516d87e97de,67f554a334e6b49976b7f0b8,0.632225210767262,1,left,1.8285365618054468
4628,f,capitals,24,state,Michigan,Lansing,Detroit,What is the capital of Michigan?,The capital of Michigan is,0.112,0.63,5.625,True,critical,html-keyboard-response,23,58109,subject_19,67d993866d1d7516d87e97de,67f554a334e6b49976b7f0b8,0.632225210767262,1,left,2.0704600855688082
2330,f,capitals,13,state,Alaska,Juneau,Anchorage,What is the capital of Alaska?,The capital of Alaska is,0.0311,0.283,9.099678457,False,critical,html-keyboard-response,25,61443,subject_19,67d993866d1d7516d87e97de,67f554a334e6b49976b7f0b8,0.632225210767262,0,left,0.07067498625872097
2679,f,capitals,40,state,Virginia,Richmond,Virginia Beach,What is the capital of Virginia?,The capital of Virginia is,0.231,0.45,1.948051948,True,critical,html-keyboard-response,27,65174,subject_19,67d993866d1d7516d87e97de,67f554a334e6b49976b7f0b8,0.632225210767262,1,left,0.3743847337170414
1807,j,capitals,23,state,Maryland,Annapolis,Baltimore,What is the capital of Maryland?,The capital of Maryland is,0.0403,0.553,13.72208437,False,critical,html-keyboard-response,29,67997,subject_19,67d993866d1d7516d87e97de,67f554a334e6b49976b7f0b8,0.632225210767262,1,right,-0.3844545206773868
7040,j,capitals,3,country,Canada,Ottawa,Toronto,What is the capital of Canada?,The capital of Canada is,1.465,6.491,4.430716724,True,critical,html-keyboard-response,31,76045,subject_19,67d993866d1d7516d87e97de,67f554a334e6b49976b7f0b8,0.632225210767262,0,right,4.1694512341919285
1542,f,capitals,42,state,Wisconsin,Madison,Milwaukee,What is the capital of Wisconsin?,The capital of Wisconsin is,0.284,0.551,1.940140845,False,critical,html-keyboard-response,33,78602,subject_19,67d993866d1d7516d87e97de,67f554a334e6b49976b7f0b8,0.632225210767262,0,left,-0.6150650739050513
1454,j,capitals,22,state,Maine,Augusta,Portland,What is the capital of Maine?,The capital of Maine is,0.0192,0.0695,3.619791667,True,critical,html-keyboard-response,35,81073,subject_19,67d993866d1d7516d87e97de,67f554a334e6b49976b7f0b8,0.632225210767262,0,right,-0.6916451821466908
1419,j,capitals,15,state,Connecticut,Hartford,Bridgeport,What is the capital of Connecticut?,The capital of Connecticut is,0.119,0.148,1.243697479,False,critical,html-keyboard-response,37,83509,subject_19,67d993866d1d7516d87e97de,67f554a334e6b49976b7f0b8,0.632225210767262,1,right,-0.7221031797427975
1758,f,capitals,35,state,Oregon,Salem,Portland,What is the capital of Oregon?,The capital of Oregon is,0.178,0.615,3.45505618,True,critical,html-keyboard-response,39,86280,subject_19,67d993866d1d7516d87e97de,67f554a334e6b49976b7f0b8,0.632225210767262,1,left,-0.4270957173119361
1433,f,capitals,30,state,New Jersey,Trenton,Newark,What is the capital of New Jersey?,The capital of New Jersey is,0.0898,0.306,3.407572383,False,critical,html-keyboard-response,41,88716,subject_19,67d993866d1d7516d87e97de,67f554a334e6b49976b7f0b8,0.632225210767262,0,left,-0.7099199807043548
1367,j,capitals,12,state,Alabama,Montgomery,Birmingham,What is the capital of Alabama?,The capital of Alabama is,0.192,0.194,1.010416667,False,critical,html-keyboard-response,43,91085,subject_19,67d993866d1d7516d87e97de,67f554a334e6b49976b7f0b8,0.632225210767262,1,right,-0.7673550618855844
1507,f,capitals,29,state,New Hampshire,Concord,Manchester,What is the capital of New Hampshire?,The capital of New Hampshire is,0.0449,0.115,2.561247216,False,critical,html-keyboard-response,45,93605,subject_19,67d993866d1d7516d87e97de,67f554a334e6b49976b7f0b8,0.632225210767262,0,left,-0.645523071501158
1920,j,capitals,19,state,Kansas,Topeka,Wichita,What is the capital of Kansas?,The capital of Kansas is,0.125,0.395,3.16,True,critical,html-keyboard-response,47,96539,subject_19,67d993866d1d7516d87e97de,67f554a334e6b49976b7f0b8,0.632225210767262,0,right,-0.28611869986709965
2526,j,capitals,11,country,United Arab Emirates,Abu Dhabi,Dubai,What is the capital of the United Arab Emirates?,The capital of the United Arab Emirates is,1.6,3.1,1.9375,True,critical,html-keyboard-response,49,100073,subject_19,67d993866d1d7516d87e97de,67f554a334e6b49976b7f0b8,0.632225210767262,0,right,0.24123977279691813
1359,f,capitals,7,country,Pakistan,Islamabad,Karachi,What is the capital of Pakistan?,The capital of Pakistan is,1.3,18.1,13.92307692,True,critical,html-keyboard-response,51,102443,subject_19,67d993866d1d7516d87e97de,67f554a334e6b49976b7f0b8,0.632225210767262,1,left,-0.7743168899075517
1490,j,capitals,27,state,Nebraska,Lincoln,Omaha,What is the capital of Nebraska?,The capital of Nebraska is,0.297,0.477,1.606060606,False,critical,html-keyboard-response,53,105049,subject_19,67d993866d1d7516d87e97de,67f554a334e6b49976b7f0b8,0.632225210767262,1,right,-0.6603169560478382
1670,f,capitals,8,country,South Africa,Pretoria,Johannesburg,What is the capital of South Africa?,The capital of South Africa is,3.0,6.4,2.133333333,False,critical,html-keyboard-response,55,107728,subject_19,67d993866d1d7516d87e97de,67f554a334e6b49976b7f0b8,0.632225210767262,0,left,-0.5036758255535756
1472,f,capitals,9,country,Switzerland,Bern,Zurich,What is the capital of Switzerland?,The capital of Switzerland is,0.448,1.455,3.247767857,False,critical,html-keyboard-response,57,110214,subject_19,67d993866d1d7516d87e97de,67f554a334e6b49976b7f0b8,0.632225210767262,0,left,-0.6759810690972645
1359,j,capitals,6,country,New Zealand,Wellington,Auckland,What is the capital of New Zealand?,The capital of New Zealand is,0.428,1.711,3.997663551,True,critical,html-keyboard-response,59,112573,subject_19,67d993866d1d7516d87e97de,67f554a334e6b49976b7f0b8,0.632225210767262,0,right,-0.7743168899075517
1673,f,capitals,5,country,Morrocco,Rabat,Marrakesh,What is the capital of Morrocco?,The capital of Morrocco is,2.02,1.085,0.5371287129,False,critical,html-keyboard-response,61,115258,subject_19,67d993866d1d7516d87e97de,67f554a334e6b49976b7f0b8,0.632225210767262,0,left,-0.5010651400453379
2068,j,capitals,36,state,Pennsylvania,Harrisburg,Philadelphia,What is the capital of Pennsylvania?,The capital of Pennsylvania is,0.05,1.517,30.34,True,critical,html-keyboard-response,63,118332,subject_19,67d993866d1d7516d87e97de,67f554a334e6b49976b7f0b8,0.632225210767262,0,right,-0.15732488146070586
2698,j,capitals,21,state,Louisiana,Baton Rouge,New Orleans,What is the capital of Louisiana?,The capital of Louisiana is,0.215,0.351,1.63255814,True,critical,html-keyboard-response,65,122034,subject_19,67d993866d1d7516d87e97de,67f554a334e6b49976b7f0b8,0.632225210767262,0,right,0.3909190752692136
1665,f,capitals,37,state,South Dakota,Pierre,Sioux Falls,What is the capital of South Dakota?,The capital of South Dakota is,0.0138,0.215,15.57971014,False,critical,html-keyboard-response,67,124700,subject_19,67d993866d1d7516d87e97de,67f554a334e6b49976b7f0b8,0.632225210767262,0,left,-0.5080269680673051
1620,j,capitals,31,state,New Mexico,Santa Fe,Albuquerque,What is the capital of New Mexico?,The capital of New Mexico is,0.0901,0.557,6.182019978,False,critical,html-keyboard-response,69,127332,subject_19,67d993866d1d7516d87e97de,67f554a334e6b49976b7f0b8,0.632225210767262,1,right,-0.5471872506908708
1724,j,capitals,16,state,Delaware,Dover,Wilmington,What is the capital of Delaware?,The capital of Delaware is,0.0403,0.0722,1.791563275,False,critical,html-keyboard-response,71,130065,subject_19,67d993866d1d7516d87e97de,67f554a334e6b49976b7f0b8,0.632225210767262,1,right,-0.45668348640529677
3453,j,capitals,34,state,North Dakota,Bismarck,Fargo,What is the capital of North Dakota?,The capital of North Dakota is,0.076,0.138,1.815789474,True,critical,html-keyboard-response,73,134524,subject_19,67d993866d1d7516d87e97de,67f554a334e6b49976b7f0b8,0.632225210767262,0,right,1.047941594842371
3502,f,capitals,18,state,Illinois,Springfield,Chicago,What is the capital of Illinois?,The capital of Illinois is,0.111,2.612,23.53153153,True,critical,html-keyboard-response,75,139040,subject_19,67d993866d1d7516d87e97de,67f554a334e6b49976b7f0b8,0.632225210767262,1,left,1.0905827914769204
1681,j,capitals,41,state,Washington,Olympia,Seattle,What is the capital of Washington?,The capital of Washington is,0.0558,0.765,13.70967742,True,critical,html-keyboard-response,77,141722,subject_19,67d993866d1d7516d87e97de,67f554a334e6b49976b7f0b8,0.632225210767262,0,right,-0.49410331202337066
2038,f,capitals,26,state,Montana,Helena,Billings,What is the capital of Montana?,The capital of Montana is,0.0359,0.123,3.426183844,True,critical,html-keyboard-response,79,144774,subject_19,67d993866d1d7516d87e97de,67f554a334e6b49976b7f0b8,0.632225210767262,1,left,-0.18343173654308298
1610,j,capitals,32,state,New York,Albany,New York,What is the capital of New York?,The capital of New York is,0.103,7.937,77.05825243,True,critical,html-keyboard-response,81,147392,subject_19,67d993866d1d7516d87e97de,67f554a334e6b49976b7f0b8,0.632225210767262,0,right,-0.5558895357183298
1405,f,capitals,1,country,Australia,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,False,critical,html-keyboard-response,83,149800,subject_19,67d993866d1d7516d87e97de,67f554a334e6b49976b7f0b8,0.632225210767262,0,left,-0.7342863787812401
2248,f,capitals,20,state,Kentucky,Frankfort,Louisville,What is the capital of Kentucky?,The capital of Kentucky is,0.0281,0.617,21.95729537,False,critical,html-keyboard-response,85,153071,subject_19,67d993866d1d7516d87e97de,67f554a334e6b49976b7f0b8,0.632225210767262,0,left,-0.0006837509664431537
1582,f,capitals,2,country,Brazil,Brasilia,Rio de Janeiro,What is the capital of Brazil?,The capital of Brazil is,4.99,13.923,2.790180361,False,critical,html-keyboard-response,87,155660,subject_19,67d993866d1d7516d87e97de,67f554a334e6b49976b7f0b8,0.632225210767262,0,left,-0.5802559337952151
1647,j,capitals,38,state,Texas,Austin,Houston,What is the capital of Texas?,The capital of Texas is,0.989,2.324,2.349848332,True,critical,html-keyboard-response,89,158311,subject_19,67d993866d1d7516d87e97de,67f554a334e6b49976b7f0b8,0.632225210767262,0,right,-0.5236910811167313
5587,j,capitals,5,country,Morrocco,Rabat,Marrakesh,What is the capital of Morrocco?,The capital of Morrocco is,2.02,1.085,0.5371287129,False,critical,html-keyboard-response,7,71529,subject_17,67d993866d1d7516d87e97de,67f553041b6b947432e5f48b,0.5891247858355094,1,right,1.938033064389131
4440,j,capitals,2,country,Brazil,Brasilia,Rio de Janeiro,What is the capital of Brazil?,The capital of Brazil is,4.99,13.923,2.790180361,False,critical,html-keyboard-response,9,76981,subject_17,67d993866d1d7516d87e97de,67f553041b6b947432e5f48b,0.5891247858355094,1,right,1.1831774670646646
3298,f,capitals,31,state,New Mexico,Santa Fe,Albuquerque,What is the capital of New Mexico?,The capital of New Mexico is,0.0901,0.557,6.182019978,False,critical,html-keyboard-response,11,81294,subject_17,67d993866d1d7516d87e97de,67f553041b6b947432e5f48b,0.5891247858355094,0,left,0.43161243468058363
4475,f,capitals,21,state,Louisiana,Baton Rouge,New Orleans,What is the capital of Louisiana?,The capital of Louisiana is,0.215,0.351,1.63255814,False,critical,html-keyboard-response,13,86785,subject_17,67d993866d1d7516d87e97de,67f553041b6b947432e5f48b,0.5891247858355094,0,left,1.206211421647364
2115,f,capitals,3,country,Canada,Ottawa,Toronto,What is the capital of Canada?,The capital of Canada is,1.465,6.491,4.430716724,False,critical,html-keyboard-response,15,89916,subject_17,67d993866d1d7516d87e97de,67f553041b6b947432e5f48b,0.5891247858355094,0,left,-0.34693523021465955
3868,j,capitals,1,country,Australia,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,critical,html-keyboard-response,17,94803,subject_17,67d993866d1d7516d87e97de,67f553041b6b947432e5f48b,0.5891247858355094,0,right,0.806736837884547
3462,f,capitals,25,state,Minnesota,St. Paul,Minneapolis,What is the capital of Minnesota?,The capital of Minnesota is,0.299,0.421,1.408026756,True,critical,html-keyboard-response,19,99283,subject_17,67d993866d1d7516d87e97de,67f553041b6b947432e5f48b,0.5891247858355094,1,left,0.5395429647252328
4863,f,capitals,20,state,Kentucky,Frankfort,Louisville,What is the capital of Kentucky?,The capital of Kentucky is,0.0281,0.617,21.95729537,True,critical,html-keyboard-response,21,105151,subject_17,67d993866d1d7516d87e97de,67f553041b6b947432e5f48b,0.5891247858355094,1,left,1.46155926102129
3355,j,capitals,12,state,Alabama,Montgomery,Birmingham,What is the capital of Alabama?,The capital of Alabama is,0.192,0.194,1.010416667,False,critical,html-keyboard-response,23,109510,subject_17,67d993866d1d7516d87e97de,67f553041b6b947432e5f48b,0.5891247858355094,1,right,0.46912487500098
7471,f,capitals,38,state,Texas,Austin,Houston,What is the capital of Texas?,The capital of Texas is,0.989,2.324,2.349848332,False,critical,html-keyboard-response,25,118000,subject_17,67d993866d1d7516d87e97de,67f553041b6b947432e5f48b,0.5891247858355094,0,left,3.177917933926442
2047,j,capitals,4,country,India,New Delhi,Mumbai,What is the capital of India?,The capital of India is,0.206,22.1,107.2815534,True,critical,html-keyboard-response,27,121061,subject_17,67d993866d1d7516d87e97de,67f553041b6b947432e5f48b,0.5891247858355094,0,right,-0.3916869134039043
1718,f,capitals,7,country,Pakistan,Islamabad,Karachi,What is the capital of Pakistan?,The capital of Pakistan is,1.3,18.1,13.92307692,True,critical,html-keyboard-response,29,123791,subject_17,67d993866d1d7516d87e97de,67f553041b6b947432e5f48b,0.5891247858355094,1,left,-0.6082060864812796
1680,j,capitals,16,state,Delaware,Dover,Wilmington,What is the capital of Delaware?,The capital of Delaware is,0.0403,0.0722,1.791563275,False,critical,html-keyboard-response,31,126479,subject_17,67d993866d1d7516d87e97de,67f553041b6b947432e5f48b,0.5891247858355094,1,right,-0.6332143800282105
3304,f,capitals,8,country,South Africa,Pretoria,Johannesburg,What is the capital of South Africa?,The capital of South Africa is,3.0,6.4,2.133333333,False,critical,html-keyboard-response,33,130797,subject_17,67d993866d1d7516d87e97de,67f553041b6b947432e5f48b,0.5891247858355094,0,left,0.4355611126090464
1440,f,capitals,34,state,North Dakota,Bismarck,Fargo,What is the capital of North Dakota?,The capital of North Dakota is,0.076,0.138,1.815789474,True,critical,html-keyboard-response,35,133244,subject_17,67d993866d1d7516d87e97de,67f553041b6b947432e5f48b,0.5891247858355094,1,left,-0.7911614971667214
1386,j,capitals,15,state,Connecticut,Hartford,Bridgeport,What is the capital of Connecticut?,The capital of Connecticut is,0.119,0.148,1.243697479,False,critical,html-keyboard-response,37,135648,subject_17,67d993866d1d7516d87e97de,67f553041b6b947432e5f48b,0.5891247858355094,1,right,-0.8266995985228863
1685,j,capitals,39,state,Vermont,Montpelier,Burlington,What is the capital of Vermont?,The capital of Vermont is,0.0079,0.0444,5.620253165,True,critical,html-keyboard-response,39,138348,subject_17,67d993866d1d7516d87e97de,67f553041b6b947432e5f48b,0.5891247858355094,0,right,-0.6299238150878249
4131,f,capitals,32,state,New York,Albany,New York,What is the capital of New York?,The capital of New York is,0.103,7.937,77.05825243,False,critical,html-keyboard-response,41,143485,subject_17,67d993866d1d7516d87e97de,67f553041b6b947432e5f48b,0.5891247858355094,0,left,0.9798205537488318
2195,j,capitals,26,state,Montana,Helena,Billings,What is the capital of Montana?,The capital of Montana is,0.0359,0.123,3.426183844,False,critical,html-keyboard-response,43,146683,subject_17,67d993866d1d7516d87e97de,67f553041b6b947432e5f48b,0.5891247858355094,1,right,-0.29428619116848925
1322,j,capitals,14,state,California,Sacramento,Los Angeles,What is the capital of California?,The capital of California is,0.527,3.8,7.210626186,True,critical,html-keyboard-response,45,149016,subject_17,67d993866d1d7516d87e97de,67f553041b6b947432e5f48b,0.5891247858355094,0,right,-0.8688188297598226
1435,f,capitals,35,state,Oregon,Salem,Portland,What is the capital of Oregon?,The capital of Oregon is,0.178,0.615,3.45505618,False,critical,html-keyboard-response,47,151463,subject_17,67d993866d1d7516d87e97de,67f553041b6b947432e5f48b,0.5891247858355094,0,left,-0.7944520621071071
4056,f,capitals,11,country,United Arab Emirates,Abu Dhabi,Dubai,What is the capital of the United Arab Emirates?,The capital of the United Arab Emirates is,1.6,3.1,1.9375,False,critical,html-keyboard-response,49,156534,subject_17,67d993866d1d7516d87e97de,67f553041b6b947432e5f48b,0.5891247858355094,0,left,0.9304620796430472
1109,j,capitals,18,state,Illinois,Springfield,Chicago,What is the capital of Illinois?,The capital of Illinois is,0.111,2.612,23.53153153,True,critical,html-keyboard-response,51,158654,subject_17,67d993866d1d7516d87e97de,67f553041b6b947432e5f48b,0.5891247858355094,0,right,-1.008996896220251
